x;y
120;113
118;113
116;113
113;113
108;113
106;113
103;113
100;111
93;108
90;106
87;104
84;101
84;92
84;87
84;82
84;77
84;71
84;70
84;68
84;66
84;63
78;63
73;63
67;63
57;63
51;63
48;61
44;59
38;55
34;53
31;51
31;47
31;37
31;33
31;28
31;23
26;21
23;21
20;21
17;21
14;21
11;21
6;21
3;21
0;21
-2;21
-4;18
-4;15
-4;12
-4;9
-4;4
-5;2
-7;0
-8;-1
-11;-4
-13;-6
-16;-6
-19;-6
-25;-6
-28;-6
-30;-6
-32;-6
-36;-11
-37;-14
-39;-16
-41;-19
-41;-24
-41;-28
-41;-31
-41;-34
-43;-41
-45;-43
-47;-45
-49;-46
-53;-50
-55;-52
-57;-53
-60;-55
-64;-58
-66;-60
-68;-62
-70;-63
-73;-68
-75;-70
-76;-72
-78;-74
-82;-78
-84;-79
-86;-81
-88;-83
-92;-86
-94;-86
-96;-86
-98;-86
-102;-86
-102;-86
-102;-88
-102;-89
-102;-92
-102;-94
-102;-95
-102;-97
-102;-100
-102;-101
-102;-103
-102;-104
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-102;-105
-104;-105
-107;-107
-108;-108
-110;-110
-111;-111
-111;-115
-111;-117
-111;-119
-111;-121
-111;-125
-111;-127
-111;-127
-111;-127
-111;-127
-111;-125
-111;-123
-113;-120
-115;-118
-119;-113
-121;-110
-123;-109
