x;y
119;-114
119;-111
119;-108
119;-106
119;-101
119;-99
119;-97
119;-94
119;-93
119;-91
119;-90
119;-90
119;-90
119;-90
119;-90
119;-90
119;-90
119;-90
117;-90
112;-90
110;-90
108;-90
105;-90
100;-90
97;-90
94;-88
92;-85
89;-78
89;-75
89;-72
89;-69
89;-66
87;-64
85;-63
82;-61
78;-60
75;-60
73;-60
71;-60
66;-60
63;-58
61;-57
59;-55
56;-52
55;-50
53;-46
52;-42
50;-38
46;-30
44;-26
42;-26
40;-26
36;-26
34;-26
31;-26
29;-24
25;-20
23;-18
21;-15
19;-13
14;-7
12;-4
10;0
8;2
4;6
2;6
-1;6
-4;6
-6;6
-8;8
-13;15
-15;19
-17;23
-19;26
-21;30
-24;35
-25;37
-25;40
-25;42
-25;44
-25;44
-26;44
-28;44
-30;44
-32;44
-36;51
-38;54
-42;60
-45;64
-47;64
-49;64
-54;64
-56;64
-58;64
-61;64
-65;64
-68;64
-70;64
-72;64
-77;69
-80;72
-81;75
-81;79
-81;82
-81;83
-81;83
-81;83
-82;83
-83;83
-87;86
-88;87
-92;90
-94;92
-95;93
-97;95
-99;96
-102;99
-102;100
-102;102
-102;102
-102;102
-102;102
-102;102
-102;102
-102;102
-102;102
-102;102
-105;102
-107;104
-108;106
-110;109
-112;113
-112;116
-112;118
-112;119
-112;121
-112;123
-112;125
-112;126
