time;x;y;fx;fy
63;120;-118;0;419
126;120;-114;0;419
189;120;-107;0;465
252;120;-103;0;465
315;120;-100;0;465
378;120;-96;0;465
441;120;-89;0;465
504;120;-85;0;465
567;120;-82;0;465
630;120;-78;0;422
693;120;-71;0;422
756;120;-67;0;422
819;120;-63;0;422
882;120;-60;0;422
945;120;-53;0;418
1008;120;-49;0;418
1071;120;-45;0;418
1134;120;-42;0;418
1197;120;-34;0;433
1260;120;-31;0;433
1323;120;-27;0;433
1386;120;-23;0;433
1449;120;-16;0;433
1512;120;-12;0;400
1575;120;-9;0;400
1638;120;-5;0;400
1701;120;1;0;400
1764;120;5;0;400
1827;120;9;0;361
1890;120;16;-26;361
1953;120;20;-26;361
2016;120;23;-26;361
2079;120;27;-26;361
2142;120;31;-26;388
2205;120;38;0;388
2268;120;42;0;388
2331;120;45;0;388
2394;120;49;0;388
2457;120;56;0;331
2520;120;60;0;331
2583;120;63;0;331
2646;120;67;0;331
2709;120;74;0;331
2772;120;79;0;259
2835;120;84;0;259
2898;120;88;0;259
2961;120;98;0;259
3024;120;103;0;259
3087;120;105;0;117
3150;120;107;0;117
3213;120;110;0;117
3276;120;111;0;117
3339;120;113;0;117
3402;120;113;0;0
3465;120;113;0;0
3528;120;113;0;0
3591;120;113;0;0
3654;120;113;0;0
3717;120;113;0;0
3780;120;113;0;0
3843;120;113;0;0
3906;120;113;0;0
3969;120;113;0;0
4032;120;113;0;0
4095;120;113;0;0
4158;120;113;0;0
4221;120;113;0;0
4284;120;113;0;0
4347;120;113;0;0
4410;120;113;0;0
4473;120;113;0;0
4536;120;113;0;0
4599;120;113;0;0
4662;120;113;-60;-27
4725;120;113;-60;-27
4788;120;113;-60;-27
4851;120;113;-60;-27
4914;120;113;-60;-27
4977;120;113;-89;-50
5040;120;113;-89;-50
5103;120;113;-89;-50
5166;120;113;-89;-50
5229;120;113;-89;-50
5292;118;113;-170;-85
5355;116;113;-170;-85
5418;113;113;-170;-85
5481;108;113;-170;-85
5544;106;113;-170;-85
5607;103;113;-229;-129
5670;100;111;-229;-129
5733;93;108;-229;-129
5796;90;106;-229;-129
5859;87;104;-229;-129
5922;84;101;-49;-278
5985;84;92;-49;-278
6048;84;87;-49;-278
6111;84;82;-49;-278
6174;84;77;-49;-278
6237;84;71;-102;-123
6300;84;70;-102;-123
6363;84;68;-102;-123
6426;84;66;-102;-123
6489;84;63;-276;-68
6552;78;63;-276;-68
6615;73;63;-276;-68
6678;67;63;-276;-68
6741;57;63;-276;-68
6804;51;63;-200;-135
6867;48;61;-200;-135
6930;44;59;-200;-135
6993;38;55;-200;-135
7056;34;53;-200;-135
7119;31;51;-200;-135
7182;31;47;-89;-252
7245;31;37;-89;-252
7308;31;33;-89;-252
7371;31;28;-89;-252
7434;31;23;-89;-252
7497;26;21;-182;-62
7560;23;21;-182;-62
7623;20;21;-182;-62
7686;17;21;-182;-62
7749;14;21;-182;-62
7812;11;21;-190;-92
7875;6;21;-190;-92
7938;3;21;-190;-92
8001;0;21;-190;-92
8064;-2;21;-190;-92
8127;-4;18;-80;-191
8190;-4;15;-80;-191
8253;-4;12;-80;-191
8316;-4;9;-80;-191
8379;-4;4;-116;-139
8442;-5;2;-116;-139
8505;-7;0;-116;-139
8568;-8;-1;-116;-139
8631;-11;-4;-116;-139
8694;-13;-6;-187;-77
8757;-16;-6;-187;-77
8820;-19;-6;-187;-77
8883;-25;-6;-187;-77
8946;-28;-6;-187;-77
9009;-30;-6;-123;-77
9072;-32;-6;-123;-172
9135;-36;-11;-123;-172
9198;-37;-14;-123;-172
9261;-39;-16;-123;-172
9324;-41;-19;-123;-172
9387;-41;-24;-95;-208
9450;-41;-28;-95;-208
9513;-41;-31;-95;-208
9576;-41;-34;-95;-208
9639;-43;-41;-142;-208
9702;-45;-43;-142;-132
9765;-47;-45;-142;-132
9828;-49;-46;-142;-132
9891;-53;-50;-142;-132
9954;-55;-52;-161;-132
10017;-57;-53;-161;-121
10080;-60;-55;-161;-121
10143;-64;-58;-161;-121
10206;-66;-60;-161;-121
10269;-68;-62;-117;-121
10332;-70;-63;-117;-147
10395;-73;-68;-117;-147
10458;-75;-70;-117;-147
10521;-76;-72;-117;-147
10584;-78;-74;-143;-147
