x;y
-112;126
-111;126
-107;126
-103;125
-95;121
-91;119
-86;117
-82;115
-74;111
-70;109
-66;108
-62;106
-54;103
-50;103
-47;103
-40;103
-35;103
-30;103
-26;103
-21;103
-11;103
-7;103
-2;103
2;103
11;103
16;103
19;103
24;103
27;103
29;103
32;103
34;103
38;103
44;103
51;103
57;103
64;103
67;103
70;103
73;103
77;103
80;103
83;103
89;103
93;103
95;103
97;103
101;103
103;103
105;103
109;103
111;103
113;103
115;103
117;103
120;103
122;103
124;103
125;103
129;103
130;103
131;103
134;103
136;103
137;103
137;103
