x;y
-123;-109
-120;-109
-116;-109
-112;-109
-105;-109
-102;-109
-98;-109
-94;-109
-87;-109
-83;-109
-80;-109
-76;-109
-69;-109
-65;-109
-61;-109
-58;-109
-50;-109
-47;-109
-43;-109
-36;-109
-32;-109
-28;-109
-21;-109
-17;-109
-14;-109
-10;-109
-6;-109
0;-109
4;-109
7;-109
14;-109
14;-109
22;-109
25;-109
29;-109
33;-109
42;-109
47;-109
52;-109
61;-109
66;-109
71;-109
80;-109
80;-109
90;-109
93;-109
96;-109
100;-109
106;-109
110;-109
112;-109
116;-109
118;-109
120;-109
123;-109
123;-109
