x;y
-116;117
-116;117
-116;116
-116;113
-116;111
-116;108
-116;103
-116;100
-116;96
-116;89
-116;89
-116;82
-116;78
-116;74
-116;67
-116;63
-116;60
-116;56
-116;52
-116;45
-116;41
-116;38
-116;31
-116;27
-116;23
-116;20
-116;13
-116;9
-116;5
-116;2
-116;-5
-116;-8
-116;-12
-116;-16
-116;-23
-116;-27
-116;-30
-116;-34
-116;-37
-116;-45
-116;-48
-116;-56
-116;-59
-116;-63
-116;-67
-116;-70
-116;-78
-116;-81
-116;-84
-116;-87
-116;-94
-116;-97
-116;-99
-116;-100
-116;-103
-116;-105
-116;-106
